,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,144.4,2023-02-16 15:24:57.293030,2023-02-16 15:25:11.520233,0 days 00:00:14.227203,relu,6,0.003719797119042888,0.00015135623715216586,0.47430191019148754,small,0.9962802028809571,64,COMPLETE
1,1,336.5,2023-02-16 15:25:11.520667,2023-02-16 15:25:21.079578,0 days 00:00:09.558911,tanh,7,0.0007030552234140358,0.0005884252702659546,2.1900840160071033,tiny,0.9992969447765859,128,COMPLETE
2,2,9.3,2023-02-16 15:25:21.079873,2023-02-16 15:25:32.634918,0 days 00:00:11.555045,tanh,4,0.018999781664458325,0.0751367724294039,2.2062962973240663,tiny,0.9810002183355416,16,COMPLETE
3,3,9.3,2023-02-16 15:25:32.635222,2023-02-16 15:25:42.876384,0 days 00:00:10.241162,tanh,6,0.0003571000942915277,0.011812222670001024,3.121190380991376,small,0.9996428999057084,64,COMPLETE
4,4,119.9,2023-02-16 15:25:42.876685,2023-02-16 15:25:53.086963,0 days 00:00:10.210278,relu,8,0.009710860314928882,0.004990746523898319,1.7074728915377575,small,0.9902891396850712,256,COMPLETE
5,5,53.7,2023-02-16 15:25:53.087255,2023-02-16 15:25:57.647711,0 days 00:00:04.560456,tanh,10,0.0002879480814096459,5.190851958966139e-05,4.970313695349879,tiny,0.9997120519185904,1024,PRUNED
6,6,8.8,2023-02-16 15:25:57.648330,2023-02-16 15:26:04.662987,0 days 00:00:07.014657,tanh,3,0.06380153625895757,0.907702309857702,0.9153370594908242,tiny,0.9361984637410424,8,PRUNED
7,7,106.9,2023-02-16 15:26:04.663205,2023-02-16 15:26:09.265194,0 days 00:00:04.601989,tanh,8,0.0010710401080740342,0.0004134157943068062,0.9872425649137377,tiny,0.998928959891926,256,PRUNED
8,8,65.1,2023-02-16 15:26:09.265420,2023-02-16 15:26:13.804105,0 days 00:00:04.538685,relu,10,0.00012164138536009951,2.4067117197252257e-05,0.34030476256684766,tiny,0.9998783586146399,1024,PRUNED
9,9,335.1,2023-02-16 15:26:13.804321,2023-02-16 15:26:23.283303,0 days 00:00:09.478982,tanh,8,0.0015021569358940668,0.0006756206528305547,1.3000046383546515,tiny,0.9984978430641059,256,COMPLETE
10,10,67.6,2023-02-16 15:26:23.283611,2023-02-16 15:26:28.890098,0 days 00:00:05.606487,relu,5,0.0008522573896611472,1.1527394015487365e-05,2.8480466808223532,small,0.9991477426103389,32,PRUNED
11,11,114.5,2023-02-16 15:26:28.890322,2023-02-16 15:26:33.502324,0 days 00:00:04.612002,tanh,8,0.001862242599705626,0.0007940441021502665,1.391580043818538,tiny,0.9981377574002944,256,PRUNED
12,12,500.0,2023-02-16 15:26:33.502547,2023-02-16 15:26:43.283766,0 days 00:00:09.781219,tanh,7,0.00337704702739861,0.001043828002158118,1.2244830525579329,tiny,0.9966229529726014,128,COMPLETE
13,13,292.3,2023-02-16 15:26:43.284064,2023-02-16 15:26:53.014678,0 days 00:00:09.730614,tanh,7,0.0038284548111903243,0.002011381448077313,0.8101873876833595,tiny,0.9961715451888097,128,COMPLETE
14,14,78.9,2023-02-16 15:26:53.014976,2023-02-16 15:26:57.657856,0 days 00:00:04.642880,tanh,7,0.006802266493682548,0.00020177504536986443,0.6500047010069466,tiny,0.9931977335063175,128,PRUNED
15,15,79.6,2023-02-16 15:26:57.658077,2023-02-16 15:27:02.824635,0 days 00:00:05.166558,tanh,5,0.0006756901257977045,0.00010072309310691377,1.7418405278023879,tiny,0.9993243098742023,32,PRUNED
16,16,471.1,2023-02-16 15:27:02.824857,2023-02-16 15:27:12.508112,0 days 00:00:09.683255,tanh,9,0.0023657594028658564,0.0016720848856331516,1.3542303993821228,tiny,0.9976342405971341,512,COMPLETE
17,17,500.0,2023-02-16 15:27:12.508423,2023-02-16 15:27:22.175372,0 days 00:00:09.666949,tanh,9,0.002252396135029546,0.009336025989971441,1.1351606840355366,tiny,0.9977476038649704,512,COMPLETE
18,18,154.1,2023-02-16 15:27:22.175707,2023-02-16 15:27:27.145123,0 days 00:00:04.969416,relu,9,0.004954071385252383,0.008791139191132726,0.5846574375222877,small,0.9950459286147476,512,PRUNED
19,19,44.7,2023-02-16 15:27:27.145346,2023-02-16 15:27:31.650069,0 days 00:00:04.504723,tanh,9,0.009928790531430035,0.02500148878855088,1.0256772294450243,tiny,0.99007120946857,512,PRUNED
20,20,500.0,2023-02-16 15:27:31.650291,2023-02-16 15:27:41.319593,0 days 00:00:09.669302,tanh,10,0.002575528210197079,0.019535032390294877,0.8200983797740509,tiny,0.9974244717898029,1024,COMPLETE
21,21,153.5,2023-02-16 15:27:41.319890,2023-02-16 15:27:45.946845,0 days 00:00:04.626955,tanh,10,0.001954961724278962,0.003533143434936779,0.7487731255816715,tiny,0.998045038275721,1024,PRUNED
22,22,9.3,2023-02-16 15:27:45.947070,2023-02-16 15:27:50.429789,0 days 00:00:04.482719,tanh,9,0.002709492982743529,0.04732954540359241,1.0763409929320225,tiny,0.9972905070172565,512,PRUNED
23,23,482.1,2023-02-16 15:27:50.430010,2023-02-16 15:28:00.093395,0 days 00:00:09.663385,tanh,10,0.0031304158726328563,0.013113862370270154,0.8426182444319146,tiny,0.9968695841273671,1024,COMPLETE
24,24,500.0,2023-02-16 15:28:00.093702,2023-02-16 15:28:09.779028,0 days 00:00:09.685326,tanh,9,0.0015215367808156337,0.00393187688174864,1.1490450056631376,tiny,0.9984784632191843,512,COMPLETE
25,25,81.3,2023-02-16 15:28:09.779326,2023-02-16 15:28:14.274092,0 days 00:00:04.494766,tanh,10,0.005588709465635261,0.0015337041609945394,0.7088694214559851,tiny,0.9944112905343647,1024,PRUNED
26,26,9.7,2023-02-16 15:28:14.274318,2023-02-16 15:28:19.183244,0 days 00:00:04.908926,relu,8,0.0011551643023255751,0.07160046414213891,0.5671793326647515,small,0.9988448356976745,256,PRUNED
27,27,500.0,2023-02-16 15:28:19.183475,2023-02-16 15:28:29.258135,0 days 00:00:10.074660,tanh,6,0.015714976348568423,0.007027658788238637,0.8570819927940722,tiny,0.9842850236514316,64,COMPLETE
28,28,54.1,2023-02-16 15:28:29.258438,2023-02-16 15:28:33.760632,0 days 00:00:04.502194,tanh,9,0.003495099265114344,0.03131578822147313,1.1625498655783029,tiny,0.9965049007348856,512,PRUNED
29,29,62.2,2023-02-16 15:28:33.760854,2023-02-16 15:28:39.454165,0 days 00:00:05.693311,relu,5,0.002575935080356131,0.00027887256294122765,0.47979880675858694,small,0.9974240649196439,32,PRUNED
30,30,479.6,2023-02-16 15:28:39.454392,2023-02-16 15:28:49.288964,0 days 00:00:09.834572,tanh,7,0.004970763459829085,0.0013061188692699678,0.704187372744836,tiny,0.995029236540171,128,COMPLETE
31,31,266.0,2023-02-16 15:28:49.289269,2023-02-16 15:28:58.851770,0 days 00:00:09.562501,tanh,9,0.0014534160341706562,0.0032087963539249656,1.2441431164690426,tiny,0.9985465839658293,512,COMPLETE
32,32,500.0,2023-02-16 15:28:58.852106,2023-02-16 15:29:08.526308,0 days 00:00:09.674202,tanh,10,0.0017174410159339474,0.004690102332299963,1.0094333761930034,tiny,0.998282558984066,1024,COMPLETE
33,33,500.0,2023-02-16 15:29:08.526617,2023-02-16 15:29:18.230718,0 days 00:00:09.704101,tanh,9,0.0034175639274335646,0.01643932154717385,1.5377520283250266,tiny,0.9965824360725665,512,COMPLETE
34,34,460.0,2023-02-16 15:29:18.231027,2023-02-16 15:29:27.899043,0 days 00:00:09.668016,tanh,8,0.0023073718104861135,0.003099267298600454,1.1853373714512867,tiny,0.9976926281895139,256,COMPLETE
35,35,335.7,2023-02-16 15:29:27.899358,2023-02-16 15:29:32.895314,0 days 00:00:04.995956,tanh,6,0.0005589917823907012,0.007720359621650873,0.9532812133598643,tiny,0.9994410082176093,64,PRUNED
36,36,407.0,2023-02-16 15:29:32.895553,2023-02-16 15:29:38.161028,0 days 00:00:05.265475,tanh,7,0.0009715972105193348,0.0009772188913668694,1.6584862210719027,small,0.9990284027894807,128,PRUNED
37,37,56.6,2023-02-16 15:29:38.161257,2023-02-16 15:29:42.637618,0 days 00:00:04.476361,tanh,10,0.0012725141969838626,0.013838132736976191,1.9737630382962044,tiny,0.9987274858030162,1024,PRUNED
38,38,80.8,2023-02-16 15:29:42.637844,2023-02-16 15:29:47.228667,0 days 00:00:04.590823,relu,8,0.007045594642458064,0.0003391891921373963,1.463700412291231,tiny,0.992954405357542,256,PRUNED
39,39,130.6,2023-02-16 15:29:47.228894,2023-02-16 15:29:51.857997,0 days 00:00:04.629103,tanh,9,0.0004898069526309769,0.0005277083367481498,1.1819323452621933,tiny,0.999510193047369,512,PRUNED
40,40,9.7,2023-02-16 15:29:51.858236,2023-02-16 15:29:56.639177,0 days 00:00:04.780941,tanh,10,0.0009605176989845428,0.189182408454607,0.9075075784618137,small,0.9990394823010155,1024,PRUNED
41,41,500.0,2023-02-16 15:29:56.639413,2023-02-16 15:30:06.823421,0 days 00:00:10.184008,tanh,6,0.016402585549427424,0.006476385341258384,0.8540816457933906,tiny,0.9835974144505726,64,COMPLETE
42,42,168.3,2023-02-16 15:30:06.823741,2023-02-16 15:30:16.726767,0 days 00:00:09.903026,tanh,6,0.021151842869268703,0.005549609815795241,1.0157057664493458,tiny,0.9788481571307313,64,COMPLETE
43,43,173.5,2023-02-16 15:30:16.727076,2023-02-16 15:30:28.616911,0 days 00:00:11.889835,tanh,4,0.001575469847282103,0.00783137486165363,0.7729604172515011,tiny,0.9984245301527179,16,COMPLETE
44,44,388.3,2023-02-16 15:30:28.617217,2023-02-16 15:30:34.595397,0 days 00:00:05.978180,tanh,4,0.004105922152050728,0.0023835397490975614,1.3242057713000297,tiny,0.9958940778479493,16,PRUNED
45,45,222.5,2023-02-16 15:30:34.595627,2023-02-16 15:30:39.921139,0 days 00:00:05.325512,tanh,5,0.0021133086005819396,0.021940145374533458,1.1327129933345315,tiny,0.9978866913994181,32,PRUNED
46,46,229.4,2023-02-16 15:30:39.921367,2023-02-16 15:30:49.433400,0 days 00:00:09.512033,tanh,8,0.0014239155266386582,0.004275745520544679,0.9001773883910242,tiny,0.9985760844733613,256,COMPLETE
47,47,277.8,2023-02-16 15:30:49.433704,2023-02-16 15:30:54.267671,0 days 00:00:04.833967,relu,7,0.0007382127087276592,0.0008932813178521841,1.5050167559920218,tiny,0.9992617872912724,128,PRUNED
48,48,141.8,2023-02-16 15:30:54.267904,2023-02-16 15:31:01.370725,0 days 00:00:07.102821,tanh,3,0.053949155212126544,0.00986464476154266,1.1180960599038554,tiny,0.9460508447878735,8,PRUNED
49,49,463.3,2023-02-16 15:31:01.370956,2023-02-16 15:31:06.401149,0 days 00:00:05.030193,tanh,6,0.0027798877838961975,0.002221791380846737,0.8226107057036266,tiny,0.9972201122161038,64,PRUNED
50,50,415.2,2023-02-16 15:31:06.401384,2023-02-16 15:31:11.772915,0 days 00:00:05.371531,tanh,5,0.0010946002136468273,0.0012100489987456795,1.304507683113312,tiny,0.9989053997863532,32,PRUNED
51,51,400.9,2023-02-16 15:31:11.773149,2023-02-16 15:31:21.359762,0 days 00:00:09.586613,tanh,10,0.0017078411055743345,0.005030097067993523,1.084824501363227,tiny,0.9982921588944257,1024,COMPLETE
52,52,402.0,2023-02-16 15:31:21.360078,2023-02-16 15:31:26.069972,0 days 00:00:04.709894,tanh,10,0.0018646001389034303,0.003833988784398335,0.9394918237696877,tiny,0.9981353998610966,1024,PRUNED
53,53,113.6,2023-02-16 15:31:26.070206,2023-02-16 15:31:30.593372,0 days 00:00:04.523166,tanh,9,0.0037981824217016642,0.011212905969419389,1.002201321756258,tiny,0.9962018175782983,512,PRUNED
54,54,215.5,2023-02-16 15:31:30.593601,2023-02-16 15:31:35.219683,0 days 00:00:04.626082,tanh,10,0.002087775777360737,0.0023173965353893234,0.7573275857758749,tiny,0.9979122242226393,1024,PRUNED
55,55,83.5,2023-02-16 15:31:35.219912,2023-02-16 15:31:39.691378,0 days 00:00:04.471466,tanh,9,0.0028897607657687664,0.01722682718943963,1.023609629006984,tiny,0.9971102392342313,512,PRUNED
56,56,403.3,2023-02-16 15:31:39.691610,2023-02-16 15:31:44.774538,0 days 00:00:05.082928,tanh,10,0.0013276986415227626,0.00584061630561025,1.2881942662330705,small,0.9986723013584773,1024,PRUNED
57,57,156.1,2023-02-16 15:31:44.774774,2023-02-16 15:31:49.402856,0 days 00:00:04.628082,relu,8,0.0008790219984063643,0.0016712860056108715,0.8606090539233395,tiny,0.9991209780015936,256,PRUNED
58,58,141.7,2023-02-16 15:31:49.403091,2023-02-16 15:31:54.013275,0 days 00:00:04.610184,tanh,10,0.001807288397629634,0.009604919121566167,0.6362130951078739,tiny,0.9981927116023703,1024,PRUNED
59,59,68.6,2023-02-16 15:31:54.013509,2023-02-16 15:31:58.524747,0 days 00:00:04.511238,tanh,9,0.004544133843893815,0.0007122848146475466,1.393655891292226,tiny,0.9954558661561062,512,PRUNED
60,60,133.7,2023-02-16 15:31:58.524978,2023-02-16 15:32:03.195627,0 days 00:00:04.670649,tanh,9,0.003043473464463594,0.02956132795209389,0.9441531180813127,tiny,0.9969565265355365,512,PRUNED
61,61,375.3,2023-02-16 15:32:03.195865,2023-02-16 15:32:12.819027,0 days 00:00:09.623162,tanh,9,0.0035409656895149274,0.01279384309007852,1.5782086513816362,tiny,0.9964590343104851,512,COMPLETE
62,62,500.0,2023-02-16 15:32:12.819350,2023-02-16 15:32:22.637473,0 days 00:00:09.818123,tanh,7,0.0025371383258074517,0.018935881921332866,1.82101130437166,tiny,0.9974628616741925,128,COMPLETE
63,63,317.8,2023-02-16 15:32:22.638601,2023-02-16 15:32:27.429550,0 days 00:00:04.790949,tanh,8,0.006195073123645705,0.004526935628779169,1.4306801608079953,tiny,0.9938049268763542,256,PRUNED
64,64,500.0,2023-02-16 15:32:27.429787,2023-02-16 15:32:37.089051,0 days 00:00:09.659264,tanh,10,0.0036606191396146154,0.007058453212431988,1.1777553924418411,tiny,0.9963393808603854,1024,COMPLETE
